ts,distance
1614428770000,-10.8896
1614428720000,10.9998
1614428680000,-13.7757
1614428245000,13.8534
1614428210000,-8.28751
1614426540000,5.55018
1614426520000,2.76404
1614425795000,-8.16382
1614425765000,-5.60189
1614425435000,13.8686
1614425110000,-2.72894
1614425035000,2.75967
1614423030000,-5.51109
1614423000000,-8.3569
1614420620000,11.1308
1614419370000,-11.0991
1614419350000,2.77036
1614417535000,10.9829
1614409635000,-8.26985
1614409595000,5.503
1614409060000,2.79261
1614399600000,-8.26307
1614399570000,8.28634
1614394370000,-5.49495
1614394340000,5.56709
1614379350000,-13.7969
1614379305000,8.40063
1614378590000,2.80188
1614378570000,2.79243
1614376505000,-10.9346
1614376400000,10.984
1614376350000,-5.5463
1614376270000,-5.41937
1614372390000,10.9952
1614372360000,-8.20328
1614371200000,8.22821
1614371170000,-8.29122
1614370080000,8.24283
1614370060000,-2.7764
1614369645000,-5.56345
1614369610000,8.39784
1614366975000,-8.23236
1614366945000,-5.58838
1614366050000,13.7567
1614366020000,-8.1133
1614365910000,8.17875
1614365850000,-13.8349
1614365800000,13.727
1614365765000,-10.8053
1614360685000,11.0571
1614360655000,-8.21255
1614360080000,8.25858
1614360060000,-2.74991
1614358905000,2.79614
1614358790000,-8.18417
1614357085000,5.58462
1614357040000,2.73687
1614356245000,-10.823
1614355830000,11.0935
1614355775000,-10.9097
1614355040000,10.9173
1614355020000,-2.76556
1614353175000,2.77842
1614352940000,-8.14832
1614352920000,-2.74931
1614352415000,8.21843
1614352375000,-11.0772
1614351115000,10.9908
1614351085000,-8.22707
1614351055000,8.31397
1614351030000,2.76646
1614350995000,-10.9242
1614350955000,2.77442
1614350920000,8.24865
1614349895000,-10.967
1614349860000,11.0552
1614349835000,-5.5126
1614349805000,-5.48336
1614349705000,-2.79206
1614348530000,13.91
1614348490000,-13.6041
1614348450000,11.1023
1614348395000,-8.19945
1614348090000,8.22432
1614348070000,2.74113
1614347500000,-11.2733
1614347470000,8.27106
1614347375000,-5.50706
1614346945000,5.55964
1614346920000,2.74724
1614346245000,-13.6967
1614346205000,13.8293
1614345210000,-10.9038
1614345180000,8.19256
1614344505000,2.72026
1614343635000,-10.9694
1614343610000,5.41203
1614340860000,5.52535
1614340835000,-5.49882
1614340805000,5.5632
1614340660000,-5.62566
1614340585000,5.53691
1614338495000,-5.61623
1614338460000,-8.27781
1614338335000,8.35701
1614338170000,5.62116
1614338120000,-13.7576
1614330425000,13.8242
1614330370000,-5.51677
1614330340000,5.42365
1614329815000,-13.76
1614329775000,13.8188
1614322700000,-8.21092
1614322600000,8.28476
1614321010000,-13.6005
1614320970000,13.7589
1614318640000,-5.53911
1614318610000,5.5471
1614315005000,-8.25781
1614314975000,8.30205
1614312310000,-10.8857
1614288610000,11.1143
1614288575000,-10.8702
1614288100000,10.824
1614288050000,-13.8903
1614288015000,11.1532
1614287940000,-10.8591
1614287920000,2.79654
1614286815000,8.25337
1614285510000,-8.24276
1614285430000,10.9639
1614284780000,-2.74755
1614282940000,2.61109
1614281990000,-11.0393
1614281640000,8.08752
1614281615000,2.75751
1614281395000,-11.0728
1614281340000,10.9739
1614281300000,-13.834
1614280405000,13.8058
1614280305000,-13.8142
1614280280000,5.55079
1614279575000,8.28222
1614279550000,-5.54022
1614278940000,5.50651
1614278905000,-10.9537
1614278465000,10.9278
1614278430000,-8.30031
1614277865000,2.79657
1614277835000,-5.49561
1614277810000,5.5265
1614277790000,2.78095
1614277725000,2.77194
1614277690000,-10.9408
1614276315000,2.72979
1614274175000,5.45572
1614274155000,2.74899
1614273645000,-13.7488
1614273010000,13.7991
1614272970000,-13.8703
1614270920000,13.9126
1614270795000,-13.7147
1614270725000,13.878
1614270680000,-11.0173
1614270640000,-2.77332
1614270555000,11.05
1614270535000,-2.77701
1614270515000,2.68818
1614270490000,2.71829
1614270465000,-5.53803
1614270315000,5.57042
1614270100000,-5.60101
1614270070000,5.5468
1614269910000,-5.58261
1614269660000,5.54366
1614269610000,-10.8117
1614269335000,10.9967
1614269305000,-8.18428
1614269045000,5.54415
1614268920000,2.74182
1614268890000,-5.52366
1614268615000,5.58847
1614268590000,-5.50401
1614267345000,5.60808
1614267250000,-11.0593
1614267225000,-2.794
1614266555000,2.75458
1614266535000,2.76091
1614266510000,2.74821
1614266490000,2.82995
1614266465000,2.74851
1614257530000,-10.9284
1614257485000,10.9448
1614256945000,-11.0254
1614256910000,11.0436
1614256855000,-5.52658
1614256815000,5.58438
1614255580000,-8.28922
1614255535000,2.74136
1614255490000,5.61986
1614255455000,-10.9907
1614254250000,8.23821
1614254220000,-8.18508
1614253160000,11.0591
1614253125000,-10.8519
1614252390000,10.953
1614252360000,-5.59233
1614252210000,5.53721
1614252025000,-10.8416
1614251985000,10.9888
1614251290000,-10.7975
1614251255000,10.9897
1614250550000,-2.78425
1614250380000,-5.53248
1614250340000,8.28241
1614250310000,-8.19666
1614249995000,5.57649
1614249970000,-2.81608
1614249000000,5.59482
1614248965000,-10.9558
1614247955000,10.9607
1614247190000,-10.927
1614247160000,5.50227
1614246380000,5.56976
1614246360000,-2.7752
1614246120000,2.7436
1614245970000,-10.9708
1614245930000,10.9932
1614245890000,-13.7294
1614244440000,13.9614
1614243755000,-13.6908
1614243715000,13.7783
1614243155000,-10.8868
1614243110000,2.72099
1614243075000,8.32006
1614243040000,-11.0182
1614242955000,8.24278
1614241005000,2.73475
1614240260000,-5.5533
1614240175000,2.78907
1614237375000,2.73751
1614236925000,-8.23448
1614236875000,8.23977
1614236825000,-8.13382
1614236770000,-2.75524
1614236660000,11.015
1614235790000,-10.8769
1614235755000,10.8915
1614231615000,-5.53388
1614231560000,5.58531
1614229260000,-13.6572
1614229220000,13.917
1614227040000,-8.23666
1614227010000,8.23342
1614217435000,-8.17882
1614217400000,8.18483
1614215030000,-5.52427
1614215005000,-5.37885
1614200475000,11.0058
1614200445000,-8.09231
1614198130000,8.22957
